"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g468.t1.exon3",695.618106817886,-7.42944033061923,0.870705562566086,-8.53266666716091,1.43012303215235e-17,3.60820041012038e-14
"g468.t1.exon1",313.431540399693,-8.74676464442769,1.06811395701932,-8.18898076085105,2.63447645097371e-16,3.32339204290333e-13
"g1841.t1.exon2",664.273870797274,-6.58750793160988,0.887496522561932,-7.42257323171673,1.14866439309669e-13,9.66026754594313e-11
"g2448.t1.exon2",120.703740581451,-8.7513972688345,1.18771731426244,-7.36824929951368,1.72883270255559e-13,1.09046122713694e-10
"g1863.t1.exon3",101.588744425688,-8.55298656489569,1.21673049769249,-7.02948317734803,2.07299943902217e-12,1.04603551693058e-09
"g613.t1.exon3",154.844077222557,-6.24888295257076,0.915033481169041,-6.82913038830801,8.54309014177892e-12,3.59236940461804e-09
"g2064.t1.exon3",4689.69477876946,5.61984698054618,0.826167070107871,6.80231297504076,1.02952627793447e-11,3.71070685604096e-09
"g1823.t1.exon27",88.9346822046899,-7.39163730880973,1.09467632920351,-6.75234963214005,1.45469798154333e-11,4.58775375929227e-09
"g468.t1.exon2",99.9805294887545,-8.07339059755721,1.22664201635338,-6.58170068359322,4.6509718385313e-11,1.30382243873494e-08
"g2797.t1.exon1",6543.3311331531,14.8381402490219,2.26284982538207,6.55728015292244,5.47980095863164e-11,1.38255378186276e-08
"g365.t1.exon1",4658.65029264999,14.3480078068449,2.19382040790594,6.54019251308746,6.14396940868607e-11,1.40920316528318e-08
"g2109.t1.exon7",353.070506065254,-5.39464848234259,0.847181496191585,-6.36776004503599,1.91808676294402e-10,4.03277741908979e-08
"g1823.t1.exon26",453.833007072225,-5.28216038953231,0.842502792922433,-6.26960579110937,3.61963304442455e-10,7.02487243929472e-08
"g1653.t1.exon3",104.665084894813,-6.70586446288368,1.10916754839697,-6.04585346242358,1.48621133435843e-09,2.52728259920593e-07
"g221.t1.exon3",2574.05847214422,13.4920961167475,2.23227875404406,6.04409108508731,1.50254613508081e-09,2.52728259920593e-07
"g1057.t1.exon1",1154.03390022962,-6.15162427870037,1.0296852101497,-5.97427662169296,2.31113363506439e-09,3.64436885079216e-07
"g1726.t1.exon10",51.3069416281736,-7.6150568075866,1.2864085217027,-5.9196255925818,3.22675349613587e-09,4.78888180632399e-07
"g366.t1.exon1",2039.34142771897,13.1562725766859,2.241913091016,5.86832407973659,4.40222148316911e-09,6.17044711224204e-07
"g221.t1.exon1",1999.24782954551,13.1274802654911,2.26386247213917,5.79870925334378,6.68272786190978e-09,8.87395915557809e-07
"g2302.t1.exon1",1130.67411496185,6.39737166998561,1.10924664794226,5.76731214996522,8.05457843401508e-09,9.67700066143812e-07
"g670.t1.exon12",172.053387271309,-5.05908068844588,0.876543134004329,-5.77162776386643,7.85093973642442e-09,9.67700066143812e-07
"g1256.t1.exon1",1193.99873575024,-4.64137128899388,0.806601281046861,-5.75423247898887,8.70363136184939e-09,9.98148269361182e-07
"g613.t1.exon2",211.033872449738,-5.51117489749618,0.962877692093298,-5.72364999495925,1.04259433012396e-08,1.14368064995772e-06
"g266.t1.exon3",656.756545658308,8.0768696728985,1.416577394335,5.70167906476451,1.18633025809537e-08,1.24712968382276e-06
"g939.t1.exon1",1007.67620641678,5.59901097608871,1.02797968784868,5.44661635076284,5.13370265549766e-08,5.18093271992824e-06
"g1534.t1.exon2",309.691465860951,5.66315106088485,1.04758688096422,5.40590108924652,6.44833762067527e-08,5.88647833579851e-06
"g2106.t1.exon1",464.782376572399,4.97993309860713,0.920823186168276,5.40813173843894,6.36855747628814e-08,5.88647833579851e-06
"g639.t1.exon3",7059.0568595821,5.85277715550954,1.08313160581947,5.40356972695064,6.53275439565431e-08,5.88647833579851e-06
"g2064.t1.exon2",710.634497332051,11.6354232118789,2.20062244643347,5.28733278656515,1.2411272527048e-07,1.04461051944981e-05
"g517.t1.exon9",51.1719021856525,-5.76265169001284,1.08992738352401,-5.28718864864257,1.24210525499383e-07,1.04461051944981e-05
"g1100.t1.exon3",428.56325141806,-4.62804397521227,0.876899339401821,-5.27773687042495,1.30789085274549e-07,1.06445439402479e-05
