"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1534.t1.exon2",133.591247249548,5.73385092849205,0.562905943630149,10.1861616374394,2.28612989742127e-24,9.08050795255729e-21
"g1174.t1.exon5",146.883130776763,7.98605323145155,0.823157877756349,9.70172727158834,2.96437084669302e-22,5.88724050153234e-19
"g1055.t1.exon2",1277.60622726727,-27.4849848645493,2.86398311522435,-9.59676917033648,8.24895898885656e-22,1.09216217012461e-18
"g468.t1.exon1",985.323746401348,-9.09893234563324,0.959443284306028,-9.48355415527721,2.45766393983913e-21,2.44046029226025e-18
"g2106.t1.exon1",213.333593286164,4.28718078421017,0.471778291127425,9.0872786324376,1.01548893744996e-19,8.06704411910245e-17
"g468.t1.exon3",2607.89977940258,-8.03192163199651,0.893285753760629,-8.99143594105588,2.44021100699508e-19,1.61541968663074e-16
"g1174.t1.exon16",198.378709990567,8.07479550325724,0.929667038547954,8.68568548570815,3.76465197751934e-18,2.13617109352955e-15
"g498.t1.exon1",216.517087880077,-3.67435742146074,0.433645691675364,-8.47317866174359,2.38785919924928e-17,1.18557209242727e-14
"g517.t1.exon9",102.242479827279,-5.48276147176759,0.65475583192697,-8.37374973145582,5.58132252073346e-17,2.4632236724837e-14
"g2448.t1.exon2",152.713920376292,-7.76422694182935,0.935951237102116,-8.29554642811187,1.0808720054881e-16,4.29322360579873e-14
"g820.t1.exon4",116.748659508483,4.55303121014397,0.578766431830009,7.86678521722084,3.6387056690695e-15,1.31390353795855e-12
"g820.t1.exon11",40.2666469199199,5.78061983656355,0.743697084379352,7.77281497800645,7.67608249653024e-15,2.54078330635151e-12
"g2610.t1.exon2",29.7622739851137,8.80278163289697,1.13868426442848,7.73066064745804,1.06989880186183e-14,3.26895233922706e-12
"g1031.t1.exon1",35.0365588114882,8.06992828957563,1.06572311444167,7.57225603932165,3.66797614993915e-14,1.04065723339702e-11
"g820.t1.exon13",115.475000064296,4.77008790142435,0.635139205992705,7.51030302714322,5.89906527539871e-14,1.37829925140492e-11
"g820.t1.exon5",45.5828464969749,4.480130737053,0.596219971711778,7.51422453057101,5.724925717428e-14,1.37829925140492e-11
"g820.t1.exon7",88.5783478097755,4.35424441246059,0.579641134077196,7.5119658638317,5.82459790880112e-14,1.37829925140492e-11
"g1174.t1.exon2",50.6183576252442,7.15995500006502,0.959052760266955,7.46565287823375,8.28875925025693e-14,1.8290528745567e-11
"g468.t1.exon2",390.797633374093,-8.66896498719491,1.18444535943966,-7.31900793743331,2.49810823365824e-13,5.22236100215292e-11
"g119.t1.exon3",128.682446298634,-3.23221771214012,0.443131579385702,-7.29403604369796,3.00804907394075e-13,5.68950996271079e-11
"g541.t1.exon1",100.800743685484,4.20536953412756,0.576156947031123,7.29899996137753,2.89914403589262e-13,5.68950996271079e-11
