"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1055.t1.exon1",2235.24769450741,-11.5487679051137,1.34908045350868,-8.56047382131861,1.12404592645204e-17,2.50887050784096e-14
"g1055.t1.exon2",1754.45148172757,-10.2168824635677,1.28138224210068,-7.97332921269323,1.54456008776583e-15,1.72372905794667e-12
"g2306.t1.exon3",297.029157847726,-9.09231578144275,1.26788830783708,-7.17122772190676,7.43281456183195e-13,5.53001403400297e-10
"g1863.t1.exon3",130.711035617503,8.9335233652014,1.26148055925979,7.08177648844894,1.42318073722482e-12,7.94134851371452e-10
"g639.t1.exon2",2830.80016263281,6.94469275498214,1.01861658704668,6.81776916191515,9.24650562144394e-12,4.12764010941257e-09
"g1321.t1.exon1",2270.93916741643,7.43047558002605,1.13461923826987,6.54887148869118,5.79734912340226e-11,2.15661387390564e-08
"g447.t1.exon6",115.765671329313,-8.29843948662898,1.30148391887828,-6.37613678222105,1.81610739195633e-10,5.79078814120934e-08
"g2302.t1.exon1",1095.55409813064,7.6035524973541,1.21383266467991,6.26408624401221,3.75017888919977e-10,1.04629991008674e-07
"g1443.t1.exon2",53.4402340738625,-9.02990272605272,1.63166405055055,-5.53416784723907,3.12709411692696e-08,7.57573756570476e-06
"g1797.t1.exon1",41.0735889297251,7.26265239560146,1.31975941990769,5.50301235668348,3.73356242037421e-08,7.57573756570476e-06
"g995.t1.exon1",786.084796969956,-6.14955603800527,1.11430439173945,-5.51873983768985,3.41439239642994e-08,7.57573756570476e-06
"g1285.t1.exon3",63.6087121643112,-8.30680631990448,1.52678280658839,-5.44072561209023,5.30639908584952e-08,9.8699022996801e-06
"g1105.t1.exon7",23.0871288790687,8.20112979087015,1.52806786196652,5.36699317811438,8.00600836421724e-08,1.37457005145638e-05
"g2565.t1.exon4",149.174271732519,4.51133410928404,0.854469833686282,5.27968797894434,1.29404059543518e-07,2.06307043500809e-05
"g1538.t1.exon2",79.0070890066185,5.46277643927097,1.05964842707906,5.1552725410344,2.53262299185833e-07,3.76854301188519e-05
"g1251.t1.exon7",32.6824959768282,7.7299780084886,1.51111203418763,5.11542349845968,3.130378037315e-07,4.2387438320085e-05
"g894.t1.exon2",67.6788570986063,4.82878503933503,0.945041890015257,5.10959893984919,3.2284339222287e-07,4.2387438320085e-05
"g1253.t1.exon1",57.9239512156734,4.42485254130626,0.890395673392025,4.96953508820351,6.7113625445617e-07,8.3220895552565e-05
"g2886.t1.exon1",487.101917699529,-4.19769433363297,0.848110018828387,-4.94946910240705,7.44161897853225e-07,8.74194397899156e-05
"g1285.t1.exon1",45.7725177605414,-6.94164181563548,1.42095284979498,-4.88520207875794,1.03322827687351e-06,0.000115308275699084
"g1984.t1.exon4",123.230490891053,-3.82800889447671,0.791668960017291,-4.83536564878469,1.32901111800555e-06,0.000141254895970876
"g2166.t1.exon2",2636.74369208096,5.86011464319613,1.21987028083556,4.80388344175596,1.55617441409448e-06,0.000157880967829949
"g1679.t1.exon1",16.6172806592915,7.72946446106436,1.61467040177589,4.78702306833838,1.69273383905984e-06,0.000160105945434687
"g232.t2.exon7",19.0225187189352,-7.52958946652195,1.57403237625876,-4.7836306165561,1.72156930574933e-06,0.000160105945434687
"g2024.t1.exon1",25.5685439992691,7.37913234840332,1.54776838767201,4.76759469128468,1.86438375985774e-06,0.000166452182080099
"g2429.t1.exon2",49514.0272860262,9.3547066490353,1.96781145771235,4.75386328927593,1.99566008700109e-06,0.000171319742853325
"g1389.t1.exon1",17.013068854831,7.76393445226641,1.67627432846094,4.6316610118314,3.62743734120123e-06,0.000299868153539302
"g1808.t1.exon7",13.6160392429139,7.43952818094247,1.61087233886334,4.61832263268729,3.86854443478455e-06,0.000308378256372825
"g1478.t1.exon4",16.9941625026329,-7.37894225148064,1.60613526504045,-4.59422217548708,4.34366401504578e-06,0.000334312347640765
"g96.t1.exon2",95.490515191438,5.37846808333171,1.1765362216815,4.57144283721653,4.84377429838546e-06,0.000360376807799878
"g1984.t1.exon3",81.6139206540865,-4.28397255151132,0.949258771642944,-4.51296598934426,6.39272765924171e-06,0.000460276391465403
"g1823.t1.exon26",487.940940581822,3.17765557855135,0.709193103689367,4.48066339339813,7.44113883124366e-06,0.000519019433479245
"g1285.t1.exon5",16.1394271815998,-7.28864791269593,1.63979967345003,-4.44484044649252,8.79571202479844e-06,0.000594909976950004
"g639.t1.exon3",1525.05678712208,5.13870547993497,1.17906769977255,4.35827856273752,1.3108946582697e-05,0.000860563787428813
"g1841.t1.exon2",437.159187709022,3.97370220202254,0.928679398683711,4.27887407393206,1.8784109150542e-05,0.0011978894749717
"g54.t1.exon1",65.4845825294762,3.51350636007573,0.836695935765536,4.1992630893576,2.67785041453765e-05,0.00166026725701334
"g618.t1.exon9",11.7235755295377,-6.84421953357817,1.65629814445072,-4.13223884631467,3.59246829134884e-05,0.00216713222332178
"g1984.t1.exon6",89.5482370254761,-4.66622726490879,1.13431907208199,-4.11368139684377,3.89398784889511e-05,0.00223077457098654
"g2730.t1.exon1",57.7985293977518,4.39975486795069,1.06960156976753,4.11345214172313,3.89785879339045e-05,0.00223077457098654
"g2536.t1.exon3",45.5711297282836,4.27923010888256,1.0426573103351,4.10415777692794,4.05790466335932e-05,0.0022643108021545
"g1718.t1.exon1",11.6151327568468,-6.81572236769292,1.66550256661386,-4.09229172282214,4.27130831618654e-05,0.00232525857603131
"g55.t1.exon5",504.009151371421,2.83348395264509,0.707343925170679,4.00580799780161,6.18058398029782e-05,0.00328453891524399
"g2025.t1.exon1",9.8814557318023,6.97334531763122,1.77084457765721,3.93786411614779,8.22101251464836e-05,0.00426727905411515
"g1784.t1.exon4",51.0992741693283,3.14609220592628,0.80100830292446,3.92766491238602,8.57746042195465e-05,0.00435111174131881
"g1297.t1.exon1",13.281017155964,-6.0353580912671,1.59046996111265,-3.79470108762377,0.000147821435852881,0.0073319432183029
"g130.t1.exon2",14.7588877439352,5.75931073978228,1.55185699738494,3.71123805188713,0.000206248027826657,0.0100075130023717
"g200.t1.exon1",8.01217301872433,6.6778572168381,1.80938556997328,3.69067672897199,0.00022365823327955,0.0101878607485705
"g663.t1.exon6",23.1977261678132,4.28028294342807,1.15655486570162,3.70089052440365,0.000214844157693262,0.0101878607485705
"g852.t1.exon1",16.7125582362585,5.99830337081224,1.62355206304697,3.69455560270425,0.000220271690372249,0.0101878607485705
"g2769.t2.exon14",7.33299679534599,6.54585402910871,1.78015970810347,3.67711615947227,0.000235885641630512,0.0105299350423861
"g1808.t1.exon10",20.1573833927207,4.33503696002347,1.19133808783253,3.63879658033134,0.00027391505156593,0.0119878116685325
"g228.t1.exon1",9.78353710400251,-6.58409075131473,1.83964999426582,-3.57899098841482,0.000344923360168631,0.0148051719210843
"g218.t1.exon7",205.500961833694,2.65661078851874,0.745484429267549,3.56360332184122,0.000365798615843616,0.0154049530294896
"g715.t1.exon1",44.9364856280001,3.10677949021705,0.875942499130734,3.5467847413502,0.000389963078258437,0.0161184739013487
"g2886.t1.exon2",52.0793461856355,-3.26338428258468,0.923546637651433,-3.53353490721749,0.000410041938422895,0.0166402473919982
"g1731.t1.exon1",230.480542034472,-3.5955656835357,1.02114566934426,-3.52110946702114,0.00042974516926848,0.0171284146037009
"g1823.t1.exon16",19.0278554330754,4.66889113025248,1.33133924492977,3.50691316885111,0.000453337051634526,0.0177517245482151
"g360.t1.exon3",19.4067898312214,-4.36749566739047,1.2513888679272,-3.49011868279186,0.000482806079005708,0.0185797097989783
"g987.t1.exon1",13.5990396679689,6.46779986465619,1.86738837636428,3.46355367020581,0.000533090236766903,0.0201670747197242
"g2576.t1.exon6",20.7453330367458,4.89309181194397,1.41753571094237,3.45182966056712,0.000556799117408043,0.0207129271675792
"g466.t1.exon6",110.784676776323,-3.87028554956815,1.12696959808469,-3.43424131063142,0.000594214948269593,0.021742422369471
"g1161.t1.exon1",13.4069174678647,4.93284421699203,1.44436738019062,3.41522820623449,0.000637285946839918,0.0229422940862371
"g1256.t1.exon1",1181.45070439702,2.99973921715177,0.880190142161153,3.40805818364023,0.000654269422938504,0.023179830984107
"g677.t1.exon1",6.04745487604464,6.27002548417381,1.84785945431493,3.39312899015815,0.000690990916777802,0.0240983082226258
"g630.t1.exon1",139.330706408563,-3.29247510586332,0.976035748233196,-3.37331405312081,0.000742691906758066,0.0255028974751385
"g1984.t1.exon2",494.059513527284,-2.66606785235754,0.792941322833737,-3.36225112197433,0.000773097812860593,0.0261447623985582
"g2935.t1.exon1",12.8907920640054,4.45088420610151,1.33468568392739,3.33478080996906,0.000853666596236745,0.0284385648179166
"g142.t1.exon5",5.74343040008518,6.19469796817241,1.86007962337003,3.33034021250609,0.000867399317248588,0.0284711070014537
"g954.t1.exon1",10.9408377629867,5.38387139793323,1.6381777521723,3.28650013149915,0.00101440726520619,0.032813869796235
