"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"tig00000744_pilon_25",2996.64961518846,-8.79968313747295,0.814403381287812,-10.8050670462076,3.25718974089822e-27,1.09702150473452e-23
"tig00000715_pilon_263",127.746069297474,5.27102525755928,0.553412096852604,9.52459349467956,1.65689106619964e-21,2.79020455548019e-18
"tig00000724_pilon_73",119.577077138523,-5.28577332282773,0.560237418206239,-9.43488091129588,3.91438650448806e-21,4.3945512490386e-18
"tig00000703_pilon_75",366.61092044241,4.37011075560661,0.467679583646425,9.34424103257521,9.255084718923e-21,7.79278133333316e-18
"tig00000045_pilon_92",311.992488981198,-8.43017588249966,0.933645985600275,-9.02930662426572,1.72762954832448e-19,1.16373126375137e-16
"tig00000134_pilon_5",67.539532386653,10.0015658242766,1.12309712671646,8.90534361308327,5.32209344831327e-19,2.98746845565318e-16
"tig00000744_pilon_24",2630.99516736839,-7.96770503084625,0.910202236356104,-8.75377439495655,2.06333363719386e-18,9.92758241438416e-16
"tig00000040_pilon_0",57.7304238088571,9.77508708043761,1.12816008494117,8.66462766314532,4.52991014426327e-18,1.90709217073484e-15
"tig00000724_pilon_75",580.686114814063,-8.2888448280481,0.95891944567036,-8.64394278943165,5.43057539391768e-18,2.03224199185719e-15
"tig00000134_pilon_1",65.6100637971915,9.95990157354265,1.18688031435678,8.39166464643941,4.7930648250994e-17,1.61430423309348e-14
"tig00000119_pilon_88",89.8594782547164,5.52703493902384,0.661852958166604,8.35085024675912,6.77733052651448e-17,2.07509538302734e-14
"tig00000724_pilon_76",100.253783300074,-5.37151607511974,0.649295290413699,-8.27284003815472,1.30805142744177e-16,3.67126433968656e-14
"tig00000743_pilon_80",135.010262230154,-5.49128544560047,0.672258156978879,-8.16841772553306,3.12460374207822e-16,8.09512723332264e-14
"tig00000703_pilon_77",48.6548366500519,6.07546036125145,0.762782906684719,7.96486170312494,1.65408663895449e-15,3.97925985714194e-13
"tig00000703_pilon_76",209.357237212322,4.83728512572035,0.608019599387089,7.9558046000434,1.77971092288277e-15,3.99604425884611e-13
"tig00000709_pilon_257",94.1084209961583,5.28174150594003,0.674959532307794,7.82527137276054,5.06562998928417e-15,1.06631511274432e-12
"tig00000724_pilon_69",459.036879331964,-3.82206870518255,0.490369093526139,-7.79426916508721,6.47823231795014e-15,1.28345214393271e-12
"tig00000724_pilon_79",922.364074109454,-4.27375035444649,0.577134647449741,-7.40511832608121,1.31033580318789e-13,2.45178388063157e-11
"tig00000714_pilon_10",600.178701517779,4.21065876240813,0.57000506069067,7.38705505053957,1.50116458067163e-13,2.66101174089581e-11
"tig00000734_pilon_56",65.9750692568995,-9.34893497445794,1.26763844413944,-7.37508002986187,1.6424635836381e-13,2.76590867484656e-11
"tig00000001_pilon_269",811.360508205838,3.67773981709826,0.499930405298694,7.35650358153534,1.8878981915892e-13,3.02782909965353e-11
"tig00000723_pilon_11",162.168773089726,3.38275108960501,0.466166012517515,7.25653736817185,3.97125056663482e-13,6.07962359473912e-11
"tig00000724_pilon_74",60.7305778626127,-6.36140598601696,0.884584833240389,-7.19140295760444,6.41289068474298e-13,9.39070253313668e-11
"tig00000001_pilon_294",80.6463331786671,-4.78364385000554,0.668287652370644,-7.15806110293423,8.18260846634692e-13,1.14658937410837e-10
"tig00000714_pilon_15",105.387757634295,4.27491168813906,0.597666971140815,7.15266510374363,8.51090687431984e-13,1.14658937410837e-10
"tig00000097_pilon_30",901.948993607804,7.96764515303249,1.1162744673265,7.13771154518582,9.48975095501814e-13,1.18821773686791e-10
"tig00000743_pilon_78",571.459986466566,-4.59921473301033,0.644400920082499,-7.1371945471796,9.52549848439235e-13,1.18821773686791e-10
"tig00000781_pilon_5",132.562768011708,-3.08864890513993,0.444624699611463,-6.94664265804161,3.74081638333162e-12,4.49966770680746e-10
"tig00000714_pilon_24",304.453422503465,4.33842036317395,0.627289923951952,6.91613271235368,4.64139615725663e-12,5.39042146815184e-10
"tig00000097_pilon_28",2040.03656256928,8.42103812382441,1.22170655265995,6.8928484548845,5.46861245296785e-12,5.75571460674866e-10
"tig00000139_pilon_56",1357.22390217636,7.90744327849719,1.14682150364257,6.89509505479392,5.38287976367542e-12,5.75571460674866e-10
"tig00000153_pilon_0",21.4258793485439,8.34476961663887,1.2096892363494,6.89827549579733,5.26375929024739e-12,5.75571460674866e-10
"tig00000001_pilon_293",92.4572714070712,-3.42531129696208,0.498430374992077,-6.87219613575222,6.32209467270531e-12,6.45236813868833e-10
"tig00000706_pilon_18",2884.46004851924,8.2104649716748,1.20180377740816,6.83178496025507,8.38645008133298e-12,8.19367181805852e-10
"tig00000715_pilon_281",180.746466446582,-6.04094240668851,0.88452279497269,-6.82960624759821,8.51480147363563e-12,8.19367181805852e-10
